funding_time,funding_rate
1727712000000,-0.00061845
1727726400000,-0.0002788
1727740800000,-0.00283394
1727755200001,-0.00175048
1727769600000,-0.00072433
1727784000000,-0.00111734
1727798400001,-0.00204487
1727812800000,-0.00153854
1727827200000,3.602e-05
1727841600000,5e-05
1727856000000,5e-05
1727870400000,5e-05
1727884800000,5e-05
1727899200000,5e-05
1727913600000,5e-05
1727928000000,5e-05
1727942400000,5e-05
1727956800000,5e-05
1727971200000,5e-05
1727985600000,5e-05
1728000000000,5e-05
1728014400000,5e-05
1728028800000,5e-05
1728043200000,5e-05
1728057600001,5e-05
1728072000000,5e-05
1728086400000,5e-05
1728100800000,5e-05
1728115200000,5e-05
1728129600000,5e-05
1728144000000,5e-05
1728158400000,5e-05
1728172800000,5e-05
1728187200001,5e-05
1728201600001,5e-05
1728216000000,5e-05
1728230400000,5e-05
1728244800000,5e-05
1728259200000,5e-05
1728273600000,5e-05
1728288000000,5e-05
1728302400000,5e-05
1728316800001,5e-05
1728331200000,5e-05
1728345600000,5e-05
1728360000000,5e-05
1728374400000,5e-05
1728388800000,5e-05
1728403200000,5e-05
1728417600000,5e-05
1728432000000,5e-05
1728446400000,5e-05
1728460800000,5e-05
1728475200000,5e-05
1728489600000,5e-05
1728504000000,5e-05
1728518400000,5e-05
1728532800000,5e-05
1728547200000,5e-05
1728561600000,5e-05
1728576000000,5e-05
1728590400000,5e-05
1728604800000,5e-05
1728619200000,5e-05
1728633600000,5e-05
1728648000000,5e-05
1728662400001,5e-05
1728676800000,5e-05
1728691200000,5e-05
1728705600001,-4.217e-05
1728720000001,5e-05
1728734400000,5e-05
1728748800000,5e-05
1728763200000,5e-05
1728777600000,5e-05
1728792000001,5e-05
1728806400000,5e-05
1728820800000,5e-05
1728835200000,5e-05
1728849600000,5e-05
1728864000000,-0.0001781
1728878400000,5e-05
1728892800000,5e-05
1728907200000,5e-05
1728921600000,5e-05
1728936000000,5e-05
1728950400000,5e-05
1728964800000,5e-05
1728979200000,5e-05
1728993600000,5e-05
1729008000000,5e-05
1729022400000,5e-05
1729036800000,5e-05
