symbol,side,combo_idx,action,entry_price,notional_usdt,cluster,tier,status,reason
AEROUSDT,long,0,OPEN,0.8511804,1131.7328709205324,cluster_0,tier2,OPENED,
ALGOUSDT,long,0,OPEN,0.11640304799999998,1236.6971499999709,cluster_0,tier2,OPENED,
ALTUSDT,long,0,OPEN,0.00810822,1412.4550673043614,cluster_0,tier3,OPENED,
ANIMEUSDT,long,0,OPEN,0.0034816824999999996,1276.735565749523,solo_ANIMEUSDT,tier3,OPENED,
API3USDT,long,0,OPEN,0.28310599999999997,1262.053976345816,solo_API3USDT,tier3,OPENED,
ASTRUSDT,long,0,OPEN,0.0075039984,1278.4671363180032,cluster_0,tier2,OPENED,
AVAXUSDT,long,0,OPEN,10.6491294,1242.4297801841924,cluster_0,tier1,OPENED,
AXLUSDT,long,0,OPEN,0.053523474999999994,1272.418866244087,cluster_1,tier3,OPENED,
BEAMXUSDT,long,0,OPEN,0.00214535,1235.5181455617403,cluster_0,tier3,OPENED,
BIGTIMEUSDT,long,0,OPEN,0.00877789,1294.2793409477085,cluster_0,tier3,OPENED,
CATIUSDT,long,0,OPEN,0.06457161599999998,895.9073639190684,solo_CATIUSDT,tier2,OPENED,
CFXUSDT,long,0,OPEN,0.05633047499999999,1488.2520061619525,cluster_0,tier3,OPENED,
CHRUSDT,long,0,OPEN,0.021877488,953.0890639276133,cluster_1,tier2,OPENED,
CKBUSDT,long,0,OPEN,0.00145051725,1362.2434552378243,cluster_0,tier3,OPENED,
COSUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
COWUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
DUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
ETHFIUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
ETHUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
FILUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
FLUXUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
GLMUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
GOATUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
GRTUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
GUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
HIGHUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
HIVEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
JOEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
KASUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
KNCUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
KSMUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
ORDIUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
PENDLEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
POLYXUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
PORTALUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
POWRUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
PYTHUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
ROSEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
RSRUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
RUNEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
SAGAUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
SSVUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
STEEMUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
STRKUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
STXUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
SUIUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
SUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
THETAUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
THEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
VELODROMEUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
VETUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
ZRXUSDT,long,0,,,,,,SKIPPED,MAX_OPEN
AAVEUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
AEROUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
ARKUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
BEAMXUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
BNTUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
CAKEUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
ENAUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
INJUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
KMNOUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
LDOUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
LINKUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
LTCUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
MEMEUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
MTLUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
NEARUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
ONDOUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
PHAUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
POWRUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
PYTHUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
QNTUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
QTUMUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
RUNEUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
SOLUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
STEEMUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
SUSHIUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
VELODROMEUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
VETUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
VTHOUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
ZRXUSDT,long,2,,,,,,SKIPPED,MAX_OPEN
1000XECUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
1INCHUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
AAVEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
AEROUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ALICEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ALTUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ARBUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ARKUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ARUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
BEAMXUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
BNBUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
BNTUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
BSVUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
BTCUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
CAKEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ENAUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ENSUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ETCUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ETHFIUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ETHUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
GMXUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
GRTUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
HBARUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
HOTUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
INJUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
KASUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
KMNOUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
LDOUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
LINKUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
LTCUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
MEMEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
MTLUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
NEARUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ONDOUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
PHAUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
POWRUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
PYTHUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
QNTUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
QTUMUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
RAYSOLUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
RPLUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
RUNEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
SEIUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
SOLUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
SSVUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
STEEMUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
STXUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
SUSHIUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
THETAUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
TIAUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
VELODROMEUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
VETUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
VTHOUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
WIFUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
