run_date,event,detail,equity
2026-08-15,RUN,"closed=0 opened=20 skipped=241 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-16,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-17,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-20,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-23,RUN,"closed=5 opened=5 skipped=96 open_now=20 equity=$60,480.05 dd=0.00%",60480.0452
2026-08-25,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,480.05 dd=0.00%",60480.0452
2026-08-26,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,480.05 dd=0.00%",60480.0452
2026-08-28,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,480.05 dd=0.00%",60480.0452
2026-08-29,RUN,"closed=0 opened=0 skipped=145 open_now=20 equity=$60,480.05 dd=0.00%",60480.0452
2026-08-30,RUN,"closed=9 opened=9 skipped=96 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-08-31,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-01,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-02,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-03,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-04,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-05,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,372.05 dd=0.00%",61372.0535
2026-09-06,RUN,"closed=6 opened=6 skipped=96 open_now=20 equity=$61,708.60 dd=0.00%",61708.6027
