lookback,top_k,bottom_k,rebalance,filter_long,filter_short,cagr,max_dd,sharpe,calmar,total_return,n_periods,avg_turnover,avg_long_ret,avg_short_ret,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026
10,5,5,weekly,none,none,14.88,-64.57,0.508,0.23,140.69,332,86.4,1.568,-0.069,40.64,111.1,40.69,-18.3,9.65,46.02,-55.88
10,5,5,weekly,none,ema200_below,-3.75,-61.82,0.189,-0.061,-20.42,310,85.7,0.798,-0.159,41.22,-16.67,38.05,-26.2,5.82,14.27,-45.67
10,5,5,weekly,ema200_above,none,19.33,-55.34,0.602,0.349,202.49,292,84.3,1.573,0.164,69.72,110.89,8.1,2.21,-1.2,16.23,-32.66
10,5,5,weekly,ema200_above,ema200_below,-1.18,-55.03,0.241,-0.021,-6.45,271,83.2,0.676,0.059,54.29,-17.76,11.08,-7.75,-4.27,-9.07,-17.98
10,5,5,biweekly,none,none,12.06,-72.21,0.598,0.167,84.41,165,94.0,3.802,-1.239,-6.12,377.22,-25.41,11.52,-49.12,68.92,-36.11
10,5,5,biweekly,none,ema200_below,3.64,-72.78,0.486,0.05,23.34,155,93.5,1.922,-0.271,16.17,139.2,-25.86,19.59,-53.85,63.65,-32.92
10,5,5,biweekly,ema200_above,none,10.46,-77.61,0.635,0.135,78.05,145,92.1,3.282,-0.409,11.26,249.79,-8.01,18.59,-57.91,25.37,-16.58
10,5,5,biweekly,ema200_above,ema200_below,1.04,-78.63,0.462,0.013,7.18,135,91.4,0.924,0.748,28.09,76.24,-8.92,26.76,-61.63,21.98,-12.58
10,5,10,weekly,none,none,8.67,-64.81,0.407,0.134,70.48,329,84.3,1.437,-0.258,45.98,66.95,28.34,-18.89,32.54,12.58,-55.44
10,5,10,weekly,none,ema200_below,-6.79,-72.09,0.056,-0.094,-36.02,294,84.0,0.481,-0.13,42.97,6.08,19.44,-31.43,-5.54,3.38,-46.79
10,5,10,weekly,ema200_above,none,14.98,-58.34,0.534,0.257,143.04,290,82.3,1.456,-0.001,74.57,66.56,13.19,0.23,19.9,-10.1,-32.38
10,5,10,weekly,ema200_above,ema200_below,-0.41,-58.61,0.219,-0.007,-1.81,255,81.7,0.417,0.207,56.76,10.61,9.15,-8.47,-14.62,-17.72,-19.88
10,5,10,biweekly,none,none,23.02,-60.64,0.793,0.38,273.01,164,92.3,3.689,-0.528,8.76,418.4,-37.53,16.79,-14.1,84.64,-44.08
10,5,10,biweekly,none,ema200_below,10.31,-62.38,0.615,0.165,76.05,147,91.6,2.526,-0.728,43.38,136.02,-38.37,7.61,-24.39,73.21,-37.66
10,5,10,biweekly,ema200_above,none,27.74,-52.22,0.932,0.531,372.0,144,90.4,3.079,0.718,38.81,282.35,-5.36,21.88,-28.16,41.38,-25.74
10,5,10,biweekly,ema200_above,ema200_below,13.74,-59.89,0.785,0.229,113.62,127,89.4,1.58,0.66,65.72,80.49,-6.02,11.91,-36.66,32.25,-17.65
10,5,15,weekly,none,none,7.85,-58.48,0.385,0.134,60.64,328,82.4,1.488,-0.394,28.67,76.71,26.11,-25.55,29.26,32.49,-56.08
10,5,15,weekly,none,ema200_below,-6.13,-69.5,0.04,-0.088,-35.71,278,82.8,0.658,-0.339,51.17,-1.36,18.29,-37.15,3.73,18.31,-50.37
10,5,15,weekly,ema200_above,none,13.99,-50.97,0.514,0.274,130.18,289,80.7,1.514,-0.152,51.96,76.08,10.71,-7.6,16.96,6.87,-33.6
10,5,15,weekly,ema200_above,ema200_below,-2.69,-56.21,0.124,-0.048,-16.88,239,80.9,0.463,-0.012,47.59,0.12,7.31,-15.54,-10.92,-4.85,-25.35
10,5,15,biweekly,none,none,20.33,-57.49,0.73,0.354,214.62,163,90.8,3.872,-0.961,6.06,395.18,-27.44,-1.65,-17.53,82.06,-43.93
10,5,15,biweekly,none,ema200_below,3.84,-54.9,0.406,0.07,21.98,141,90.2,1.784,-0.593,47.09,32.22,-25.22,-3.46,-15.24,79.28,-40.85
10,5,15,biweekly,ema200_above,none,23.01,-55.84,0.832,0.412,266.91,143,89.3,3.283,0.109,32.31,265.7,-3.73,6.87,-30.81,40.78,-25.39
10,5,15,biweekly,ema200_above,ema200_below,4.42,-56.47,0.483,0.078,32.37,121,88.7,0.628,0.729,59.95,0.91,-0.88,4.63,-28.66,38.57,-21.73
10,5,20,weekly,none,none,5.52,-58.59,0.346,0.094,40.75,327,80.3,1.541,-0.544,28.44,52.74,16.56,-22.89,27.99,38.93,-55.38
10,5,20,weekly,none,ema200_below,-8.29,-67.87,-0.029,-0.122,-43.91,268,82.0,0.441,-0.245,39.9,-4.15,8.04,-38.58,3.0,30.21,-51.03
10,5,20,weekly,ema200_above,none,12.27,-51.49,0.479,0.238,106.82,288,78.7,1.565,-0.292,50.02,52.05,8.34,-4.66,15.71,12.27,-32.66
10,5,20,weekly,ema200_above,ema200_below,-5.56,-54.98,0.05,-0.101,-26.56,230,80.3,0.205,0.119,26.85,-2.15,3.71,-17.72,-11.65,4.95,-26.4
10,5,20,biweekly,none,none,22.42,-54.28,0.788,0.413,250.88,163,88.8,3.872,-0.937,11.61,361.38,-22.7,0.83,-11.6,81.32,-45.42
10,5,20,biweekly,none,ema200_below,1.3,-54.26,0.309,0.024,5.24,135,90.3,1.247,-0.292,37.88,21.74,-23.17,-1.18,-16.75,78.97,-42.95
10,5,20,biweekly,ema200_above,none,24.08,-52.56,0.88,0.458,287.94,143,87.5,3.283,0.069,37.97,240.25,-0.25,7.67,-25.61,40.37,-27.49
10,5,20,biweekly,ema200_above,ema200_below,-0.9,-57.32,0.259,-0.016,-1.18,116,88.6,-0.111,0.943,33.2,-7.12,-0.53,5.59,-29.88,38.24,-24.57
10,10,5,weekly,none,none,16.76,-58.47,0.551,0.287,164.04,329,84.4,1.256,0.06,48.82,107.64,35.89,-4.46,-6.33,-2.23,-27.91
